60 74 22 0 0
12 74 60 0 0
11 74 12 0 0
21 11 10 0 0
21 74 11 0 0
54 5f 53 0 0
54 5e 5f 0 0
7 71 5d 0 0
6 71 7 0 0
2e 56 2f 0 0
2e 6b 56 0 0
4d 67 4e 0 0
4d 6a 67 0 0
1b 39 1c 0 0
1b 49 39 0 0
15 41 16 0 0
15 47 41 0 0
23 60 22 0 0
4a 60 23 0 0
13 60 4a 0 0
12 60 13 0 0
53 5c 52 0 0
53 5f 5c 0 0
34 32 35 0 0
34 31 32 0 0
33 31 34 0 0
33 30 31 0 0
43 25 26 0 0
43 48 25 0 0
42 48 43 0 0
42 47 48 0 0
15 45 47 0 0
14 45 15 0 0
13 45 14 0 0
13 4a 45 0 0
44 37 38 0 0
44 49 37 0 0
39 44 3a 0 0
39 49 44 0 0
30 3f 31 0 0
30 3e 3f 0 0
18 3e 30 0 0
17 3e 18 0 0
45 48 47 0 0
46 48 45 0 0
24 48 46 0 0
25 48 24 0 0
2b 38 2a 0 0
2b 44 38 0 0
2c 44 2b 0 0
3a 44 2c 0 0
35 28 29 0 0
35 32 28 0 0
40 26 27 0 0
40 43 26 0 0
3f 43 40 0 0
3f 42 43 0 0
1d 39 3b 0 0
1c 39 1d 0 0
36 34 37 0 0
36 33 34 0 0
1a 33 36 0 0
19 33 1a 0 0
32 27 28 0 0
32 40 27 0 0
31 40 32 0 0
31 3f 40 0 0
3c 2d 2e 0 0
3c 3b 2d 0 0
1d 3c 1e 0 0
1d 3b 3c 0 0
2d 3a 2c 0 0
3b 3a 2d 0 0
38 29 2a 0 0
38 35 29 0 0
38 34 35 0 0
37 34 38 0 0
19 30 33 0 0
18 30 19 0 0
2e 3d 3c 0 0
2f 3d 2e 0 0
1f 2f 1 0 0
1f 3d 2f 0 0
1e 3d 1f 0 0
3c 3d 1e 0 0
c9 f4 fc 0 0
c8 c9 fc 0 0
12a 10d 10c 0 0
113 114 122 0 0
5 6 125 0 0
c2 c3 130 0 0
1 2 135 0 0
131 130 134 0 0
